Processo de soldagem,Classificação,Especificação,F N°,FAIXA DE QUALIFICADA PARA FN°
eletrodo revestido ( SMAW),E-6010,5.1,3,1 a 3
eletrodo revestido ( SMAW),E-7018,5.1,4,1 a 4
TIG  ( GTAW ),ER-70S3,5.18,6,6
MIG/MAG ( GMAW ),ER-70S6,5.18,6,6
Arame tubular ( FCAW ),E-71T1,5.20,6,6
TIG  ( GTAW ),ER-309L,5.9,6,6
TIG  ( GTAW ),ER-308L,5.9,6,6
TIG  ( GTAW ),ER-NiCrFe3,5.14,43,"34 , 41 a 46"
eletrodo revestido ( SMAW),E-NiCrFe3,5.11,43,"34 , 41 a 46"
eletrodo revestido ( SMAW),E-309L,5.4,5,1 e 5
TIG  ( GTAW ),ER-NiCrMo3,5.14,43,"34 , 41 a 46"
